"id","pred"
"2019_3101_3113",0.243485343760939
"2019_3101_3114",0.550013948650842
"2019_3101_3120",0.339880456681649
"2019_3101_3124",0.0574467426727231
"2019_3101_3125",0.600862976774679
"2019_3101_3126",0.669648270395082
"2019_3101_3129",0.579220502170501
"2019_3101_3137",0.572048742279995
"2019_3101_3138",0.339880456681649
"2019_3101_3140",0.31100135986395
"2019_3101_3141",0.311395111644144
"2019_3101_3143",0.547049029763728
"2019_3101_3155",0.388866074060128
"2019_3101_3163",0.0677161462417635
"2019_3101_3177",0.284566986432047
"2019_3101_3179",0.35512992067215
"2019_3101_3195",0.494993250645386
"2019_3101_3199",0.379227240198699
"2019_3101_3200",0.44231462008712
"2019_3101_3211",0.243485343760939
"2019_3101_3231",0.339880456681649
"2019_3101_3234",0.213373784047639
"2019_3101_3235",0.117158900854762
"2019_3101_3243",0.388866074060128
"2019_3101_3246",0.245619974535947
"2019_3101_3257",0.0965029643177355
"2019_3101_3263",0.569300441869474
"2019_3101_3266",0.220381724136312
"2019_3101_3268",0.131263171238721
"2019_3101_3273",0.595520826629031
"2019_3101_3274",0.243485343760939
"2019_3101_3276",0.339880456681649
"2019_3101_3277",0.339880456681649
"2019_3101_3280",0.0677161462417635
"2019_3101_3281",0.325594197317463
"2019_3101_3283",0.339880456681649
"2019_3101_3301",0.13912527925225
"2019_3101_3308",0.552737054283614
"2019_3101_3314",0.494252424165751
"2019_3101_3323",0.0677161462417635
"2019_3101_3332",0.0965029643177355
"2019_3101_3333",0.243485343760939
"2019_3101_3340",0.299668255705098
"2019_3101_3343",0.461810545444621
"2019_3101_3346",0.445142288127725
"2019_3101_3347",0.579220502170501
"2019_3101_3349",0.413231892920138
"2019_3101_3352",0.669648270395082
"2019_3101_3353",0.31100135986395
"2019_3101_3355",0.243485343760939
"2019_3101_3376",0.379227240198699
"2019_3101_3377",0.339880456681649
"2019_3101_3380",0.669648270395082
"2019_3101_3390",0.0965029643177355
"2019_3101_3393",0.131263171238721
"2019_3101_3397",0.339880456681649
"2019_3101_3400",0.31100135986395
"2019_3101_3401",0.243485343760939
"2019_3101_3406",0.579220502170501
"2019_3101_3413",0.579220502170501
"2019_3101_3416",0.465336963945913
